Feature0,Ranking0,Feature1,Ranking1,Feature2,Ranking2,Feature3,Ranking3,Feature4,Ranking4,Feature5,Ranking5,Feature6,Ranking6,Feature7,Ranking7,Feature8,Ranking8,Feature9,Ranking9,Feature10,Ranking10,Feature11,Ranking11,Feature12,Ranking12,Feature13,Ranking13,Feature14,Ranking14,Feature15,Ranking15
,,,,"('1year5Mth', 'Selangor')",1,,,"('3week', 'W.P. Putrajaya')",1,,,"('5mth', 'Sabah')",1,,,,,"('3day', 'Perlis')",1,"('3mth', 'Johor')",1,"('4week', 'W.P. Labuan')",1,"('5mth', 'Sarawak')",1,,,"('9mth', 'Sarawak')",1,,
,,,,"('1year5Mth', 'Terengganu')",1,,,"('4day', 'Johor')",1,,,"('5mth', 'Sarawak')",1,,,,,"('3day', 'Pulau Pinang')",1,"('3mth', 'Kelantan')",1,"('4week', 'W.P. Putrajaya')",5,"('5mth', 'Selangor')",1,,,"('9mth', 'Selangor')",1,,
,,,,"('1year5Mth', 'W.P. Putrajaya')",1,,,"('4day', 'Kedah')",1,,,"('5mth', 'Selangor')",1,,,,,"('3day', 'Sabah')",1,"('3mth', 'Negeri Sembilan')",1,"('5day', 'Johor')",1,"('5mth', 'Terengganu')",17,,,"('cases_new', 'Johor')",1,,
,,,,"('1year6Mth', 'Johor')",27,,,"('4day', 'Kelantan')",1,,,"('5mth', 'W.P. Kuala Lumpur')",1,,,,,"('3day', 'Sarawak')",1,"('3mth', 'Perak')",1,"('5day', 'Kedah')",1,"('5mth', 'W.P. Kuala Lumpur')",9,,,"('cases_new', 'Kedah')",1,,
,,,,"('1year6Mth', 'Kedah')",1,,,"('4day', 'Melaka')",1,,,"('6day', 'Johor')",1,,,,,"('3day', 'W.P. Kuala Lumpur')",1,"('3mth', 'Perlis')",1,"('5day', 'Kelantan')",1,"('5mth', 'W.P. Putrajaya')",1,,,"('cases_new', 'Melaka')",1,,
,,,,"('1year6Mth', 'Kelantan')",1,,,"('4day', 'Negeri Sembilan')",1,,,"('6day', 'Kedah')",1,,,,,"('3day', 'W.P. Labuan')",1,"('3mth', 'Pulau Pinang')",1,"('5day', 'Melaka')",1,"('6day', 'Johor')",1,,,"('cases_new', 'Negeri Sembilan')",1,,
,,,,"('1year6Mth', 'Melaka')",1,,,"('4day', 'Pahang')",1,,,"('6day', 'Kelantan')",30,,,,,"('3mth', 'Johor')",1,"('3mth', 'Sabah')",1,"('5day', 'Pahang')",1,"('6day', 'Kedah')",1,,,"('cases_new', 'Pahang')",9,,
,,,,"('1year6Mth', 'Pahang')",1,,,"('4day', 'Perak')",1,,,"('6day', 'Melaka')",1,,,,,"('3mth', 'Kedah')",1,"('3mth', 'Sarawak')",1,"('5day', 'Perak')",1,"('6day', 'Negeri Sembilan')",1,,,"('cases_new', 'Perak')",1,,
,,,,"('1year6Mth', 'Perlis')",1,,,"('4day', 'Perlis')",1,,,"('6day', 'Negeri Sembilan')",1,,,,,"('3mth', 'Perak')",1,"('3mth', 'W.P. Putrajaya')",1,"('5day', 'Perlis')",1,"('6day', 'Perlis')",1,,,"('cases_new', 'Perlis')",1,,
,,,,"('1year6Mth', 'Sarawak')",1,,,"('4day', 'Pulau Pinang')",1,,,"('6day', 'Pahang')",1,,,,,"('3mth', 'Perlis')",1,"('3week', 'Johor')",1,"('5day', 'Pulau Pinang')",1,"('6day', 'Pulau Pinang')",1,,,"('cases_new', 'Pulau Pinang')",19,,
,,,,"('1year6Mth', 'Selangor')",1,,,"('4day', 'Sabah')",1,,,"('6day', 'Perak')",1,,,,,"('3mth', 'Sarawak')",1,"('3week', 'Kedah')",1,"('5day', 'Sabah')",1,"('6day', 'Sabah')",1,,,"('cases_new', 'Sabah')",1,,
,,,,"('1year6Mth', 'W.P. Kuala Lumpur')",1,,,"('4day', 'Sarawak')",1,,,"('6day', 'Pulau Pinang')",1,,,,,"('3mth', 'Selangor')",1,"('3week', 'Kelantan')",1,"('5day', 'Sarawak')",1,"('6day', 'Sarawak')",1,,,"('cases_new', 'Selangor')",1,,
