Feature0,Ranking0,Feature1,Ranking1,Feature2,Ranking2,Feature3,Ranking3,Feature4,Ranking4,Feature5,Ranking5,Feature6,Ranking6,Feature7,Ranking7,Feature8,Ranking8,Feature9,Ranking9,Feature10,Ranking10,Feature11,Ranking11,Feature12,Ranking12,Feature13,Ranking13,Feature14,Ranking14,Feature15,Ranking15
"('cases_adult', 'W.P. Kuala Lumpur')",65,"('discharged_pui', 'Negeri Sembilan')",23,"('cases_elderly', 'Pulau Pinang')",76,"('cases_adult', 'Melaka')",3,"('cases_adult', 'Pahang')",81,"('beds_noncrit', 'Sabah')",15,"('cases_elderly', 'Negeri Sembilan')",14,"('cases_adult', 'Negeri Sembilan')",66,"('cases_adult', 'Melaka')",17,"('discharged_pui', 'Melaka')",59,"('cases_adult', 'Melaka')",10,"('cases_adult', 'Melaka')",24,"('cases_adult', 'Selangor')",94,"('cases_adult', 'Kedah')",32,"('cases_elderly', 'Sarawak')",80,"('beds_noncrit', 'Kedah')",16
"('cases_adult', 'W.P. Putrajaya')",5,"('discharged_pui', 'Pulau Pinang')",99,"('discharged_covid', 'Johor')",45,"('cases_adult', 'Perak')",18,"('cases_adult', 'Selangor')",28,"('beds_noncrit', 'Sarawak')",1,"('cases_elderly', 'W.P. Kuala Lumpur')",56,"('cases_adult', 'Pahang')",76,"('cases_adult', 'Negeri Sembilan')",76,"('discharged_pui', 'Negeri Sembilan')",62,"('cases_adult', 'Negeri Sembilan')",94,"('cases_adult', 'Negeri Sembilan')",1,"('cases_adult', 'W.P. Kuala Lumpur')",71,"('cases_adult', 'Kelantan')",71,"('cases_elderly', 'Selangor')",79,"('beds_noncrit', 'Pulau Pinang')",24
"('cases_elderly', 'Kedah')",91,"('discharged_pui', 'W.P. Labuan')",63,"('discharged_covid', 'Melaka')",23,"('cases_adult', 'Sabah')",22,"('cases_adult', 'W.P. Kuala Lumpur')",38,"('beds_noncrit', 'Selangor')",94,"('cases_elderly', 'W.P. Labuan')",10,"('cases_adult', 'Sabah')",14,"('cases_adult', 'Pahang')",88,"('discharged_pui', 'Perak')",87,"('cases_adult', 'Perak')",76,"('cases_adult', 'Perak')",39,"('cases_adult', 'W.P. Labuan')",3,"('cases_adult', 'Melaka')",13,"('cases_elderly', 'W.P. Kuala Lumpur')",3,"('beds_noncrit', 'Sarawak')",55
"('cases_elderly', 'Kelantan')",83,"('discharged_total', 'Melaka')",76,"('discharged_covid', 'Sabah')",48,"('cases_adult', 'Sarawak')",94,"('cases_adult', 'W.P. Putrajaya')",2,"('beds_noncrit', 'Terengganu')",2,"('discharged_covid', 'Johor')",51,"('cases_adult', 'Selangor')",44,"('cases_adult', 'Perak')",2,"('discharged_pui', 'W.P. Labuan')",1,"('cases_adult', 'Selangor')",74,"('cases_adult', 'W.P. Kuala Lumpur')",28,"('cases_adult', 'W.P. Putrajaya')",38,"('cases_adult', 'Pahang')",86,"('discharged_covid', 'Johor')",65,"('beds_noncrit', 'Terengganu')",39
"('cases_elderly', 'Selangor')",73,"('discharged_total', 'Pulau Pinang')",74,"('discharged_covid', 'W.P. Labuan')",35,"('cases_adult', 'Selangor')",58,"('cases_elderly', 'Melaka')",74,"('cases_adolescent', 'Johor')",2,"('discharged_covid', 'Negeri Sembilan')",34,"('cases_adult', 'W.P. Kuala Lumpur')",94,"('cases_adult', 'Selangor')",94,"('discharged_total', 'Melaka')",76,"('cases_adult', 'W.P. Kuala Lumpur')",50,"('cases_elderly', 'Melaka')",1,"('cases_elderly', 'Negeri Sembilan')",23,"('cases_adult', 'Terengganu')",93,"('discharged_covid', 'Negeri Sembilan')",60,"('beds_noncrit', 'W.P. Labuan')",27
"('cases_elderly', 'W.P. Kuala Lumpur')",28,"('discharged_total', 'Sabah')",81,"('discharged_pui', 'Kedah')",72,"('cases_adult', 'W.P. Kuala Lumpur')",20,"('cases_elderly', 'Negeri Sembilan')",2,"('cases_adolescent', 'Kedah')",4,"('discharged_covid', 'Sabah')",45,"('cases_adult', 'W.P. Labuan')",70,"('cases_adult', 'W.P. Kuala Lumpur')",54,"('discharged_total', 'Negeri Sembilan')",29,"('cases_adult', 'W.P. Labuan')",99,"('cases_elderly', 'Negeri Sembilan')",62,"('cases_elderly', 'Selangor')",29,"('cases_adult', 'W.P. Kuala Lumpur')",57,"('discharged_covid', 'Sabah')",2,"('cases_adolescent', 'Kedah')",56
"('discharged_covid', 'Johor')",33,"('discharged_total', 'Sarawak')",100,"('discharged_pui', 'Kelantan')",42,"('cases_adult', 'W.P. Putrajaya')",51,"('cases_elderly', 'Sarawak')",59,"('cases_adolescent', 'Melaka')",33,"('discharged_covid', 'Sarawak')",52,"('cases_adult', 'W.P. Putrajaya')",58,"('cases_adult', 'W.P. Labuan')",13,"('discharged_total', 'W.P. Labuan')",1,"('cases_adult', 'W.P. Putrajaya')",43,"('cases_elderly', 'Selangor')",72,"('cases_elderly', 'W.P. Kuala Lumpur')",30,"('cases_adult', 'W.P. Labuan')",23,"('discharged_covid', 'Selangor')",25,"('cases_adolescent', 'Melaka')",26
"('discharged_covid', 'Negeri Sembilan')",19,"('discharged_total', 'W.P. Kuala Lumpur')",39,"('discharged_pui', 'Melaka')",95,"('cases_elderly', 'Melaka')",84,"('cases_elderly', 'Selangor')",62,"('cases_adolescent', 'Pulau Pinang')",2,"('discharged_covid', 'Selangor')",47,"('cases_elderly', 'Sarawak')",6,"('cases_adult', 'W.P. Putrajaya')",39,"('hosp_covid', 'Kedah')",97,"('cases_elderly', 'Negeri Sembilan')",13,"('cases_elderly', 'W.P. Kuala Lumpur')",69,"('discharged_covid', 'Melaka')",83,"('cases_adult', 'W.P. Putrajaya')",81,"('discharged_covid', 'W.P. Kuala Lumpur')",52,"('cases_adolescent', 'Negeri Sembilan')",49
"('discharged_covid', 'Selangor')",22,"('discharged_total', 'W.P. Labuan')",11,"('discharged_pui', 'Negeri Sembilan')",88,"('cases_elderly', 'Negeri Sembilan')",98,"('cases_elderly', 'W.P. Kuala Lumpur')",11,"('cases_adult', 'Johor')",2,"('discharged_covid', 'W.P. Labuan')",90,"('cases_elderly', 'W.P. Kuala Lumpur')",54,"('cases_elderly', 'Melaka')",64,"('hosp_covid', 'Melaka')",70,"('cases_elderly', 'Selangor')",42,"('discharged_covid', 'Kedah')",1,"('discharged_covid', 'Negeri Sembilan')",10,"('cases_elderly', 'Negeri Sembilan')",10,"('discharged_covid', 'W.P. Labuan')",2,"('cases_adolescent', 'Pahang')",64
"('discharged_covid', 'Terengganu')",34,"('hosp_covid', 'Kedah')",63,"('discharged_pui', 'Pulau Pinang')",90,"('cases_elderly', 'Sabah')",41,"('discharged_covid', 'Melaka')",58,"('cases_adult', 'Kedah')",2,"('discharged_pui', 'Negeri Sembilan')",47,"('discharged_covid', 'Johor')",6,"('cases_elderly', 'Negeri Sembilan')",27,"('hosp_covid', 'Negeri Sembilan')",37,"('cases_elderly', 'W.P. Kuala Lumpur')",98,"('discharged_covid', 'Melaka')",2,"('discharged_covid', 'Sabah')",85,"('cases_elderly', 'Perak')",89,"('discharged_pui', 'Kelantan')",1,"('cases_adolescent', 'W.P. Putrajaya')",85
"('discharged_covid', 'W.P. Kuala Lumpur')",52,"('hosp_covid', 'Kelantan')",65,"('discharged_pui', 'Sabah')",67,"('cases_elderly', 'Selangor')",29,"('discharged_covid', 'Negeri Sembilan')",26,"('cases_adult', 'Kelantan')",1,"('discharged_pui', 'Perak')",80,"('discharged_covid', 'Melaka')",40,"('cases_elderly', 'Selangor')",31,"('hosp_covid', 'W.P. Kuala Lumpur')",94,"('cases_elderly', 'W.P. Labuan')",64,"('discharged_covid', 'Negeri Sembilan')",23,"('discharged_covid', 'Selangor')",9,"('cases_elderly', 'Selangor')",59,"('discharged_pui', 'Perlis')",69,"('cases_adult', 'Johor')",63
"('discharged_covid', 'W.P. Labuan')",40,"('hosp_covid', 'Melaka')",68,"('discharged_pui', 'Selangor')",96,"('cases_elderly', 'W.P. Kuala Lumpur')",49,"('discharged_covid', 'Pahang')",76,"('cases_adult', 'Pulau Pinang')",1,"('discharged_pui', 'Sarawak')",85,"('discharged_covid', 'Negeri Sembilan')",70,"('cases_elderly', 'W.P. Kuala Lumpur')",26,"('hosp_covid', 'W.P. Labuan')",1,"('discharged_covid', 'Johor')",95,"('discharged_covid', 'Pahang')",64,"('discharged_covid', 'Terengganu')",87,"('cases_elderly', 'W.P. Kuala Lumpur')",12,"('discharged_pui', 'Sabah')",48,"('cases_adult', 'Pulau Pinang')",35
"('discharged_pui', 'Johor')",75,"('hosp_covid', 'Negeri Sembilan')",50,"('discharged_total', 'Melaka')",53,"('discharged_covid', 'Johor')",53,"('discharged_covid', 'Selangor')",2,"('cases_adult', 'Sabah')",23,"('discharged_pui', 'W.P. Kuala Lumpur')",69,"('discharged_covid', 'Sarawak')",40,"('discharged_covid', 'Melaka')",96,"('hosp_noncovid', 'Negeri Sembilan')",51,"('discharged_covid', 'Melaka')",7,"('discharged_covid', 'Perak')",89,"('discharged_covid', 'W.P. Kuala Lumpur')",11,"('discharged_covid', 'Johor')",2,"('discharged_pui', 'Sarawak')",94,"('cases_elderly', 'Perak')",6
"('discharged_pui', 'Kedah')",69,"('hosp_covid', 'Selangor')",67,"('discharged_total', 'Pulau Pinang')",69,"('discharged_covid', 'Negeri Sembilan')",56,"('discharged_covid', 'W.P. Kuala Lumpur')",6,"('cases_adult', 'Terengganu')",2,"('discharged_pui', 'W.P. Labuan')",81,"('discharged_covid', 'Selangor')",2,"('discharged_covid', 'Negeri Sembilan')",2,"('hosp_noncovid', 'Sabah')",94,"('discharged_covid', 'Negeri Sembilan')",34,"('discharged_covid', 'Terengganu')",48,"('discharged_covid', 'W.P. Labuan')",83,"('discharged_covid', 'Kedah')",25,"('discharged_pui', 'Selangor')",14,"('discharged_covid', 'Johor')",2
"('discharged_pui', 'Kelantan')",9,"('hosp_covid', 'W.P. Kuala Lumpur')",21,"('discharged_total', 'Sabah')",57,"('discharged_covid', 'Perak')",57,"('discharged_covid', 'W.P. Putrajaya')",2,"('cases_elderly', 'Johor')",10,"('discharged_total', 'Melaka')",84,"('discharged_covid', 'W.P. Kuala Lumpur')",39,"('discharged_covid', 'Sarawak')",92,"('hosp_noncovid', 'W.P. Labuan')",2,"('discharged_covid', 'Pahang')",69,"('discharged_covid', 'W.P. Labuan')",9,"('discharged_pui', 'Melaka')",47,"('discharged_covid', 'Kelantan')",26,"('discharged_pui', 'W.P. Labuan')",89,"('discharged_covid', 'Negeri Sembilan')",100
"('discharged_pui', 'Melaka')",12,"('hosp_covid', 'W.P. Labuan')",15,"('discharged_total', 'Sarawak')",86,"('discharged_covid', 'Sabah')",2,"('discharged_pui', 'Melaka')",57,"('cases_elderly', 'Kedah')",1,"('discharged_total', 'Sabah')",86,"('discharged_pui', 'Kedah')",28,"('discharged_covid', 'Selangor')",3,"('hosp_pui', 'Johor')",99,"('discharged_covid', 'Selangor')",54,"('discharged_pui', 'Melaka')",91,"('discharged_pui', 'Negeri Sembilan')",40,"('discharged_covid', 'Melaka')",5,"('discharged_total', 'Pulau Pinang')",92,"('discharged_covid', 'Sabah')",36
"('discharged_pui', 'Negeri Sembilan')",59,"('hosp_noncovid', 'Negeri Sembilan')",72,"('discharged_total', 'W.P. Kuala Lumpur')",20,"('discharged_covid', 'Sarawak')",63,"('discharged_pui', 'Negeri Sembilan')",10,"('cases_elderly', 'Kelantan')",8,"('discharged_total', 'W.P. Kuala Lumpur')",41,"('discharged_pui', 'Melaka')",15,"('discharged_covid', 'Terengganu')",45,"('hosp_pui', 'W.P. Labuan')",1,"('discharged_covid', 'W.P. Kuala Lumpur')",48,"('discharged_pui', 'Negeri Sembilan')",24,"('discharged_pui', 'Selangor')",52,"('discharged_covid', 'Selangor')",2,"('discharged_total', 'Sabah')",42,"('discharged_covid', 'Sarawak')",12
"('discharged_pui', 'Perak')",79,"('hosp_noncovid', 'Sabah')",42,"('hosp_covid', 'Melaka')",68,"('discharged_covid', 'Selangor')",10,"('discharged_pui', 'Pahang')",38,"('cases_elderly', 'Pulau Pinang')",62,"('discharged_total', 'W.P. Labuan')",58,"('discharged_pui', 'Selangor')",25,"('discharged_covid', 'W.P. Kuala Lumpur')",50,"('icu_covid', 'Johor')",54,"('discharged_covid', 'W.P. Labuan')",7,"('discharged_pui', 'Perak')",97,"('discharged_total', 'Kedah')",97,"('discharged_covid', 'Terengganu')",35,"('discharged_total', 'Selangor')",54,"('discharged_covid', 'Selangor')",5
"('discharged_pui', 'Sarawak')",62,"('hosp_noncovid', 'Selangor')",2,"('hosp_covid', 'Pulau Pinang')",100,"('discharged_covid', 'W.P. Kuala Lumpur')",51,"('discharged_pui', 'Sarawak')",80,"('cases_elderly', 'Sabah')",2,"('hosp_covid', 'Kedah')",95,"('discharged_pui', 'W.P. Kuala Lumpur')",38,"('discharged_covid', 'W.P. Labuan')",26,"('icu_covid', 'Kedah')",67,"('discharged_pui', 'Kedah')",86,"('discharged_pui', 'Selangor')",17,"('discharged_total', 'Melaka')",39,"('discharged_covid', 'W.P. Kuala Lumpur')",73,"('discharged_total', 'W.P. Kuala Lumpur')",12,"('discharged_covid', 'W.P. Kuala Lumpur')",18
"('discharged_total', 'Johor')",68,"('hosp_noncovid', 'W.P. Kuala Lumpur')",94,"('hosp_covid', 'W.P. Kuala Lumpur')",3,"('discharged_covid', 'W.P. Labuan')",5,"('discharged_pui', 'Selangor')",20,"('discharged_covid', 'Johor')",30,"('hosp_covid', 'Pahang')",71,"('discharged_pui', 'W.P. Labuan')",50,"('discharged_pui', 'Kedah')",91,"('icu_covid', 'Kelantan')",61,"('discharged_pui', 'Negeri Sembilan')",7,"('discharged_pui', 'W.P. Kuala Lumpur')",70,"('discharged_total', 'Sabah')",50,"('discharged_pui', 'Kedah')",75,"('discharged_total', 'W.P. Labuan')",7,"('discharged_covid', 'W.P. Labuan')",10
"('discharged_total', 'Kelantan')",21,"('hosp_noncovid', 'W.P. Labuan')",57,"('hosp_covid', 'W.P. Labuan')",79,"('discharged_pui', 'Kedah')",24,"('discharged_pui', 'W.P. Kuala Lumpur')",2,"('discharged_covid', 'Kedah')",2,"('hosp_covid', 'Pulau Pinang')",98,"('discharged_pui', 'W.P. Putrajaya')",89,"('discharged_pui', 'Melaka')",29,"('icu_covid', 'Negeri Sembilan')",9,"('discharged_pui', 'Pulau Pinang')",92,"('discharged_pui', 'W.P. Putrajaya')",74,"('discharged_total', 'Selangor')",95,"('discharged_pui', 'Kelantan')",2,"('hosp_covid', 'Kedah')",39,"('discharged_pui', 'Johor')",75
"('discharged_total', 'Sarawak')",2,"('hosp_pui', 'Negeri Sembilan')",80,"('hosp_noncovid', 'Negeri Sembilan')",60,"('discharged_pui', 'Melaka')",74,"('discharged_pui', 'W.P. Putrajaya')",21,"('discharged_covid', 'Kelantan')",2,"('hosp_covid', 'W.P. Kuala Lumpur')",2,"('discharged_total', 'Kedah')",10,"('discharged_pui', 'Negeri Sembilan')",24,"('icu_covid', 'Pahang')",9,"('discharged_pui', 'Selangor')",67,"('discharged_total', 'Kelantan')",55,"('discharged_total', 'Terengganu')",92,"('discharged_pui', 'Melaka')",2,"('hosp_covid', 'Kelantan')",87,"('discharged_pui', 'Kedah')",66
"('discharged_total', 'Selangor')",23,"('hosp_pui', 'W.P. Kuala Lumpur')",56,"('hosp_noncovid', 'Perak')",97,"('discharged_pui', 'Negeri Sembilan')",43,"('discharged_total', 'Melaka')",83,"('discharged_covid', 'Pahang')",32,"('hosp_covid', 'W.P. Labuan')",89,"('discharged_total', 'Pahang')",72,"('discharged_pui', 'Sarawak')",65,"('icu_covid', 'Perak')",82,"('discharged_pui', 'W.P. Labuan')",3,"('discharged_total', 'Negeri Sembilan')",75,"('discharged_total', 'W.P. Kuala Lumpur')",7,"('discharged_pui', 'Perak')",58,"('hosp_covid', 'Melaka')",78,"('discharged_pui', 'Pahang')",86
"('discharged_total', 'Terengganu')",2,"('hosp_pui', 'W.P. Labuan')",28,"('hosp_noncovid', 'Sabah')",72,"('discharged_pui', 'Perak')",60,"('discharged_total', 'Sarawak')",95,"('discharged_covid', 'Perak')",67,"('hosp_noncovid', 'Johor')",96,"('discharged_total', 'Perak')",92,"('discharged_pui', 'Selangor')",62,"('icu_covid', 'Perlis')",83,"('discharged_total', 'Kelantan')",2,"('discharged_total', 'W.P. Kuala Lumpur')",3,"('discharged_total', 'W.P. Labuan')",8,"('discharged_pui', 'Selangor')",38,"('hosp_covid', 'Selangor')",38,"('discharged_pui', 'Perlis')",74
"('discharged_total', 'W.P. Kuala Lumpur')",5,"('icu_covid', 'Johor')",55,"('hosp_noncovid', 'Selangor')",2,"('discharged_pui', 'Sabah')",25,"('discharged_total', 'Selangor')",8,"('discharged_covid', 'Pulau Pinang')",1,"('hosp_noncovid', 'Perak')",53,"('discharged_total', 'Pulau Pinang')",64,"('discharged_pui', 'W.P. Kuala Lumpur')",86,"('icu_covid', 'Pulau Pinang')",17,"('discharged_total', 'Negeri Sembilan')",36,"('discharged_total', 'W.P. Labuan')",20,"('hosp_covid', 'Melaka')",57,"('discharged_pui', 'W.P. Kuala Lumpur')",2,"('hosp_covid', 'W.P. Kuala Lumpur')",35,"('discharged_pui', 'Sarawak')",54
"('hosp_covid', 'Kedah')",35,"('icu_covid', 'Kelantan')",96,"('hosp_noncovid', 'W.P. Kuala Lumpur')",38,"('discharged_pui', 'Sarawak')",95,"('discharged_total', 'W.P. Kuala Lumpur')",2,"('discharged_covid', 'Sabah')",6,"('hosp_noncovid', 'Sabah')",33,"('discharged_total', 'Sabah')",46,"('discharged_total', 'Kedah')",96,"('icu_covid', 'Sabah')",49,"('discharged_total', 'Selangor')",80,"('hosp_covid', 'Kelantan')",81,"('hosp_covid', 'Negeri Sembilan')",45,"('discharged_total', 'Kedah')",8,"('hosp_covid', 'W.P. Labuan')",67,"('discharged_total', 'Johor')",33
"('hosp_covid', 'Kelantan')",69,"('icu_covid', 'Negeri Sembilan')",87,"('icu_covid', 'Pahang')",84,"('discharged_pui', 'Terengganu')",49,"('discharged_total', 'W.P. Labuan')",53,"('discharged_covid', 'Sarawak')",52,"('hosp_noncovid', 'Selangor')",2,"('discharged_total', 'Sarawak')",2,"('discharged_total', 'Melaka')",79,"('icu_covid', 'Selangor')",45,"('discharged_total', 'W.P. Kuala Lumpur')",78,"('hosp_covid', 'Pahang')",58,"('hosp_covid', 'Selangor')",36,"('discharged_total', 'Kelantan')",2,"('hosp_noncovid', 'Melaka')",71,"('discharged_total', 'Negeri Sembilan')",99
"('hosp_covid', 'Melaka')",56,"('icu_covid', 'Pahang')",44,"('icu_covid', 'Pulau Pinang')",55,"('discharged_total', 'Kedah')",33,"('discharged_total', 'W.P. Putrajaya')",71,"('discharged_covid', 'Terengganu')",71,"('hosp_noncovid', 'W.P. Labuan')",9,"('discharged_total', 'Terengganu')",59,"('discharged_total', 'Negeri Sembilan')",3,"('icu_covid', 'Terengganu')",74,"('discharged_total', 'W.P. Labuan')",32,"('hosp_covid', 'Selangor')",32,"('hosp_covid', 'W.P. Kuala Lumpur')",34,"('discharged_total', 'Melaka')",56,"('hosp_noncovid', 'Perak')",63,"('discharged_total', 'Pahang')",2
"('hosp_covid', 'Negeri Sembilan')",27,"('icu_covid', 'Pulau Pinang')",84,"('icu_covid', 'Sabah')",51,"('discharged_total', 'Kelantan')",71,"('hosp_covid', 'Negeri Sembilan')",50,"('discharged_pui', 'Kelantan')",13,"('hosp_pui', 'Negeri Sembilan')",35,"('discharged_total', 'W.P. Kuala Lumpur')",19,"('discharged_total', 'Pulau Pinang')",96,"('icu_covid', 'W.P. Kuala Lumpur')",28,"('hosp_covid', 'Melaka')",45,"('hosp_covid', 'W.P. Kuala Lumpur')",19,"('hosp_covid', 'W.P. Labuan')",51,"('discharged_total', 'Pahang')",43,"('hosp_noncovid', 'W.P. Kuala Lumpur')",33,"('discharged_total', 'Pulau Pinang')",60
"('hosp_covid', 'Pahang')",47,"('icu_covid', 'Sabah')",5,"('icu_noncovid', 'Pulau Pinang')",27,"('discharged_total', 'Melaka')",42,"('hosp_covid', 'Pahang')",90,"('discharged_pui', 'Melaka')",1,"('hosp_pui', 'Sabah')",37,"('discharged_total', 'W.P. Labuan')",70,"('discharged_total', 'W.P. Kuala Lumpur')",11,"('icu_covid', 'W.P. Labuan')",55,"('hosp_covid', 'Negeri Sembilan')",2,"('hosp_noncovid', 'Pahang')",76,"('hosp_noncovid', 'Negeri Sembilan')",2,"('discharged_total', 'Pulau Pinang')",98,"('hosp_noncovid', 'W.P. Labuan')",65,"('discharged_total', 'Sabah')",22
"('hosp_covid', 'Sarawak')",45,"('icu_covid', 'Terengganu')",33,"('icu_noncovid', 'W.P. Kuala Lumpur')",7,"('discharged_total', 'Negeri Sembilan')",2,"('hosp_covid', 'Sarawak')",62,"('discharged_pui', 'Pahang')",58,"('hosp_pui', 'W.P. Kuala Lumpur')",57,"('hosp_covid', 'Melaka')",65,"('discharged_total', 'W.P. Labuan')",56,"('icu_noncovid', 'Kedah')",7,"('hosp_covid', 'Selangor')",62,"('hosp_noncovid', 'Selangor')",45,"('hosp_noncovid', 'Selangor')",42,"('discharged_total', 'Sabah')",77,"('hosp_pui', 'Melaka')",84,"('discharged_total', 'Sarawak')",9
"('hosp_covid', 'Selangor')",25,"('icu_covid', 'W.P. Labuan')",89,"('icu_noncovid', 'W.P. Labuan')",82,"('discharged_total', 'Sabah')",14,"('hosp_covid', 'Selangor')",1,"('discharged_pui', 'Perak')",57,"('hosp_pui', 'W.P. Labuan')",82,"('hosp_covid', 'Negeri Sembilan')",37,"('hosp_covid', 'Kedah')",29,"('icu_noncovid', 'Negeri Sembilan')",33,"('hosp_covid', 'W.P. Kuala Lumpur')",2,"('hosp_noncovid', 'W.P. Putrajaya')",52,"('hosp_noncovid', 'W.P. Kuala Lumpur')",32,"('discharged_total', 'Selangor')",54,"('hosp_pui', 'Negeri Sembilan')",1,"('discharged_total', 'W.P. Labuan')",67
"('hosp_covid', 'W.P. Kuala Lumpur')",8,"('icu_noncovid', 'Sabah')",45,"('icu_pui', 'Kelantan')",87,"('discharged_total', 'Selangor')",19,"('hosp_covid', 'W.P. Kuala Lumpur')",1,"('discharged_pui', 'Perlis')",2,"('icu_covid', 'Johor')",27,"('hosp_covid', 'Pahang')",35,"('hosp_covid', 'Negeri Sembilan')",2,"('icu_noncovid', 'Pulau Pinang')",85,"('hosp_covid', 'W.P. Labuan')",17,"('hosp_pui', 'Negeri Sembilan')",94,"('hosp_pui', 'Melaka')",55,"('discharged_total', 'W.P. Kuala Lumpur')",16,"('hosp_pui', 'W.P. Kuala Lumpur')",57,"('hosp_covid', 'Kedah')",41
