Feature0,Ranking0,Feature1,Ranking1,Feature2,Ranking2,Feature3,Ranking3,Feature4,Ranking4,Feature5,Ranking5,Feature6,Ranking6,Feature7,Ranking7,Feature8,Ranking8,Feature9,Ranking9,Feature10,Ranking10,Feature11,Ranking11,Feature12,Ranking12,Feature13,Ranking13,Feature14,Ranking14,Feature15,Ranking15
"('vent_port', 'Johor')",50,"('vent_pui', 'Melaka')",94,"('vent_pui', 'Kedah')",28,"('icu_pui', 'Melaka')",80,"('icu_covid', 'W.P. Kuala Lumpur')",2,"('hosp_noncovid', 'Terengganu')",20,"('vent_covid', 'Kedah')",46,"('vent', 'Kedah')",80,"('icu_pui', 'Terengganu')",49,"('vent_noncovid', 'Perlis')",46,"('vent', 'Negeri Sembilan')",75,"('vent', 'Sarawak')",87,"('vent_port', 'Johor')",16,"('icu_covid', 'Pulau Pinang')",29,"('vent_port', 'Negeri Sembilan')",37,"('icu_pui', 'Terengganu')",25
"('vent_port', 'Kedah')",2,"('vent_pui', 'Pahang')",87,"('vent_pui', 'Pahang')",14,"('icu_pui', 'Selangor')",3,"('icu_noncovid', 'Kedah')",77,"('hosp_noncovid', 'W.P. Kuala Lumpur')",54,"('vent_covid', 'Pulau Pinang')",62,"('vent', 'Melaka')",77,"('icu_pui', 'W.P. Labuan')",12,"('vent_noncovid', 'Sarawak')",49,"('vent_covid', 'Kedah')",49,"('vent_covid', 'Perak')",79,"('vent_port', 'Kedah')",13,"('icu_covid', 'Sabah')",3,"('vent_port', 'Pahang')",45,"('icu_pui', 'W.P. Kuala Lumpur')",87
"('vent_port', 'Melaka')",17,"('vent_pui', 'Sarawak')",34,"('vent_pui', 'W.P. Kuala Lumpur')",76,"('icu_pui', 'Terengganu')",61,"('icu_noncovid', 'Sabah')",44,"('hosp_noncovid', 'W.P. Putrajaya')",60,"('vent_covid', 'Sabah')",18,"('vent', 'Selangor')",80,"('vent', 'Johor')",2,"('vent_port', 'Johor')",16,"('vent_covid', 'Sabah')",16,"('vent_covid', 'Sabah')",40,"('vent_port', 'Melaka')",21,"('icu_covid', 'Selangor')",50,"('vent_port', 'Perak')",89,"('icu_pui', 'W.P. Labuan')",62
"('vent_port', 'Selangor')",54,"('vent_pui', 'Terengganu')",38,"('vent_used', 'Johor')",12,"('vent', 'Kedah')",100,"('icu_pui', 'Pahang')",4,"('hosp_pui', 'Kedah')",65,"('vent_covid', 'Selangor')",78,"('vent_covid', 'Sabah')",84,"('vent', 'Selangor')",14,"('vent_port', 'Kedah')",2,"('vent_covid', 'W.P. Labuan')",53,"('vent_covid', 'Selangor')",79,"('vent_port', 'Negeri Sembilan')",61,"('icu_covid', 'Terengganu')",20,"('vent_port', 'Perlis')",30,"('vent', 'Terengganu')",47
"('vent_port_used', 'W.P. Kuala Lumpur')",71,"('vent_used', 'Negeri Sembilan')",18,"('vent_used', 'Kelantan')",49,"('vent_covid', 'Sabah')",54,"('icu_pui', 'Pulau Pinang')",38,"('hosp_pui', 'Sabah')",100,"('vent_noncovid', 'Kedah')",79,"('vent_noncovid', 'Perlis')",95,"('vent_covid', 'Sabah')",23,"('vent_port', 'Melaka')",2,"('vent_port', 'Johor')",27,"('vent_covid', 'W.P. Labuan')",59,"('vent_port', 'Perak')",73,"('icu_covid', 'W.P. Kuala Lumpur')",50,"('vent_port', 'Pulau Pinang')",98,"('vent_covid', 'Selangor')",20
"('vent_pui', 'Sarawak')",43,"('vent_used', 'Pahang')",68,"('vent_used', 'Melaka')",4,"('vent_covid', 'Sarawak')",45,"('icu_pui', 'Sarawak')",44,"('hosp_pui', 'Sarawak')",35,"('vent_noncovid', 'Selangor')",67,"('vent_port', 'Sabah')",75,"('vent_port', 'Melaka')",77,"('vent_port', 'Negeri Sembilan')",44,"('vent_port', 'Melaka')",7,"('vent_noncovid', 'Kedah')",99,"('vent_port', 'Sabah')",17,"('icu_noncovid', 'Sabah')",44,"('vent_port_used', 'Pahang')",27,"('vent_covid', 'W.P. Kuala Lumpur')",97
"('vent_pui', 'Terengganu')",53,"('vent_used', 'Sarawak')",91,"('vent_used', 'Negeri Sembilan')",32,"('vent_noncovid', 'Selangor')",98,"('icu_pui', 'Selangor')",69,"('hosp_pui', 'W.P. Kuala Lumpur')",89,"('vent_port', 'Johor')",43,"('vent_port', 'W.P. Kuala Lumpur')",16,"('vent_port', 'Negeri Sembilan')",21,"('vent_port', 'Pahang')",19,"('vent_port', 'Perak')",19,"('vent_port', 'Kelantan')",78,"('vent_port', 'W.P. Kuala Lumpur')",14,"('icu_pui', 'Kelantan')",69,"('vent_port_used', 'Sabah')",77,"('vent_noncovid', 'Kedah')",57
"('vent_used', 'Johor')",86,"('vent_used', 'W.P. Kuala Lumpur')",66,"('vent_used', 'Pahang')",92,"('vent_port', 'Johor')",80,"('icu_pui', 'W.P. Labuan')",67,"('icu_covid', 'Perlis')",70,"('vent_port', 'Melaka')",15,"('vent_pui', 'Kedah')",90,"('vent_port', 'Pahang')",82,"('vent_port', 'Perak')",39,"('vent_port', 'Perlis')",70,"('vent_port', 'Negeri Sembilan')",36,"('vent_pui', 'Kedah')",32,"('icu_pui', 'Melaka')",47,"('vent_port_used', 'Sarawak')",99,"('vent_noncovid', 'Pulau Pinang')",95
"('vent_used', 'Negeri Sembilan')",15,,,"('vent_used', 'Perak')",19,"('vent_port', 'W.P. Kuala Lumpur')",90,"('vent', 'Johor')",44,"('icu_noncovid', 'Johor')",92,"('vent_port', 'Pahang')",73,"('vent_pui', 'Sabah')",88,"('vent_port', 'Perak')",39,"('vent_port', 'Perlis')",37,"('vent_port', 'Pulau Pinang')",92,"('vent_port', 'Perlis')",30,"('vent_pui', 'Melaka')",99,"('icu_pui', 'Pahang')",90,"('vent_port_used', 'Selangor')",4,"('vent_noncovid', 'Selangor')",87
"('vent_used', 'Selangor')",36,,,"('vent_used', 'Sarawak')",76,"('vent_port', 'W.P. Labuan')",89,"('vent', 'Melaka')",97,"('icu_noncovid', 'Pahang')",68,"('vent_port', 'Perak')",77,"('vent_used', 'W.P. Kuala Lumpur')",85,"('vent_port', 'Pulau Pinang')",91,"('vent_port', 'Pulau Pinang')",22,"('vent_port', 'Selangor')",2,"('vent_port', 'Pulau Pinang')",2,"('vent_pui', 'Pahang')",22,"('icu_pui', 'Selangor')",86,"('vent_port_used', 'Terengganu')",96,"('vent_port', 'Kelantan')",2
