Feature0,Ranking0,Feature1,Ranking1,Feature2,Ranking2,Feature3,Ranking3,Feature4,Ranking4,Feature5,Ranking5,Feature6,Ranking6,Feature7,Ranking7,Feature8,Ranking8,Feature9,Ranking9,Feature10,Ranking10,Feature11,Ranking11,Feature12,Ranking12,Feature13,Ranking13,Feature14,Ranking14,Feature15,Ranking15
"('5day', 'Sabah')",17,"('6day', 'Johor')",20,"('5day', 'Negeri Sembilan')",23,"('6day', 'Johor')",4,"('3day', 'W.P. Labuan')",2,"('3week', 'Negeri Sembilan')",2,"('4week', 'Sabah')",15,"('7mth', 'Pahang')",9,"('4week', 'Pahang')",23,"('5mth', 'W.P. Kuala Lumpur')",6,"('6mth', 'Negeri Sembilan')",27,"('3week', 'W.P. Putrajaya')",29,"('5day', 'Terengganu')",12,"('4day', 'Sabah')",1,"('3week', 'W.P. Labuan')",29,"('5day', 'Negeri Sembilan')",29
"('5day', 'Sarawak')",2,"('6mth', 'W.P. Kuala Lumpur')",29,"('5day', 'Pulau Pinang')",25,"('6day', 'Melaka')",17,"('3week', 'Pahang')",2,"('3week', 'Sarawak')",2,"('4week', 'W.P. Labuan')",16,"('7mth', 'Selangor')",21,"('5day', 'Negeri Sembilan')",30,"('6day', 'Johor')",1,"('6mth', 'Pahang')",13,"('4day', 'Perlis')",16,"('5day', 'W.P. Putrajaya')",30,"('4week', 'Kelantan')",17,"('4mth', 'Sarawak')",6,"('5day', 'Pulau Pinang')",25
"('5mth', 'Johor')",6,"('8mth', 'Johor')",6,"('5day', 'Sarawak')",18,"('6day', 'Perak')",22,"('3week', 'W.P. Kuala Lumpur')",13,"('3week', 'Selangor')",1,"('5day', 'Negeri Sembilan')",8,"('7mth', 'W.P. Putrajaya')",18,"('5day', 'Pulau Pinang')",20,"('6day', 'Perak')",25,"('6mth', 'Sabah')",3,"('5day', 'Sarawak')",2,"('6day', 'Johor')",17,"('4week', 'Pahang')",29,"('4week', 'Pahang')",19,"('5day', 'Terengganu')",2
"('6mth', 'Selangor')",22,"('cases_new', 'Kelantan')",14,"('5day', 'Selangor')",2,"('6mth', 'Negeri Sembilan')",21,"('4day', 'Kelantan')",3,"('3week', 'Terengganu')",2,"('6day', 'Perak')",2,"('9mth', 'Pulau Pinang')",30,"('5day', 'Sarawak')",25,"('6day', 'Perlis')",9,"('6mth', 'Sarawak')",2,"('5day', 'Terengganu')",7,"('6day', 'Sabah')",20,"('4week', 'W.P. Labuan')",27,"('5day', 'Kedah')",2,"('5day', 'W.P. Labuan')",7
"('8mth', 'Melaka')",9,"('cases_new', 'Negeri Sembilan')",11,"('5day', 'Terengganu')",14,"('6mth', 'Pahang')",13,"('4day', 'W.P. Labuan')",1,"('3week', 'W.P. Putrajaya')",5,"('6day', 'Perlis')",21,"('9mth', 'Sarawak')",7,"('5day', 'Selangor')",2,"('6day', 'Selangor')",2,"('6mth', 'W.P. Kuala Lumpur')",24,"('6mth', 'Sabah')",3,"('6mth', 'W.P. Kuala Lumpur')",2,"('5day', 'Kedah')",22,"('5day', 'Negeri Sembilan')",23,"('6day', 'Johor')",1
"('cases_new', 'Kedah')",11,"('cases_new', 'Perak')",23,"('5mth', 'Johor')",8,"('6mth', 'W.P. Kuala Lumpur')",14,"('4week', 'Selangor')",16,"('4day', 'Kelantan')",26,"('6mth', 'Johor')",20,"('cases_new', 'Kelantan')",16,"('5day', 'Terengganu')",20,"('6mth', 'Melaka')",2,"('6mth', 'W.P. Putrajaya')",9,"('8mth', 'Johor')",5,"('7mth', 'Negeri Sembilan')",17,"('5day', 'Negeri Sembilan')",2,"('5day', 'Terengganu')",2,"('6day', 'Pulau Pinang')",2
"('cases_new', 'Negeri Sembilan')",2,"('cases_new', 'W.P. Kuala Lumpur')",16,"('6day', 'Johor')",11,"('7mth', 'Negeri Sembilan')",3,"('5day', 'Negeri Sembilan')",27,"('4day', 'Melaka')",2,"('6mth', 'Pahang')",21,"('cases_new', 'Negeri Sembilan')",28,"('8mth', 'Sabah')",28,"('6mth', 'Negeri Sembilan')",22,"('7mth', 'Kelantan')",12,"('8mth', 'Kelantan')",28,"('cases_new', 'Johor')",21,"('5day', 'Perak')",2,"('5day', 'W.P. Kuala Lumpur')",28,"('6mth', 'Pulau Pinang')",24
"('cases_new', 'Pahang')",15,,,"('cases_new', 'Johor')",29,"('7mth', 'W.P. Kuala Lumpur')",30,"('5day', 'Sabah')",30,"('4day', 'Pahang')",1,"('6mth', 'Selangor')",2,"('cases_new', 'Sabah')",27,"('cases_new', 'Johor')",2,"('6mth', 'Pahang')",2,"('7mth', 'Melaka')",4,"('8mth', 'Melaka')",18,"('cases_new', 'Negeri Sembilan')",11,"('5day', 'Sabah')",16,"('5mth', 'Pahang')",15,"('6mth', 'Sabah')",18
"('cases_new', 'Perak')",1,,,"('cases_new', 'Kelantan')",10,"('9mth', 'Sabah')",24,"('5day', 'Sarawak')",2,"('4day', 'Selangor')",15,"('6mth', 'W.P. Kuala Lumpur')",3,"('cases_new', 'Sarawak')",1,"('cases_new', 'Kedah')",16,"('6mth', 'Pulau Pinang')",23,"('7mth', 'Perak')",30,"('8mth', 'Pulau Pinang')",30,,,"('5day', 'Terengganu')",9,"('5mth', 'W.P. Putrajaya')",20,"('6mth', 'W.P. Kuala Lumpur')",9
"('cases_new', 'Sabah')",23,,,"('cases_new', 'Negeri Sembilan')",15,"('cases_new', 'Johor')",27,"('6day', 'Perlis')",1,"('4mth', 'Kedah')",2,"('7mth', 'Negeri Sembilan')",13,"('cases_new', 'W.P. Kuala Lumpur')",1,"('cases_new', 'Negeri Sembilan')",2,"('6mth', 'Sabah')",9,"('7mth', 'Sarawak')",8,"('8mth', 'Sabah')",3,,,"('6mth', 'Selangor')",6,"('6mth', 'Pahang')",4,"('8mth', 'Melaka')",20
